                 x                 y
    0.00000000E+00    0.00000000E+00
    0.00000000E+00    0.00000000E+00
    1.18532307E-10    0.00000000E+00
    3.55589901E-10    7.44716346E-13
    7.11161085E-10    2.97877719E-12
    1.18522948E-09    7.44669308E-12
    1.77777405E-09    1.48928276E-11
    2.48876904E-09    2.60613677E-11
    3.31818406E-09    4.16962949E-11
    4.26598402E-09    6.25413549E-11
    5.33212916E-09    8.93400290E-11
    6.51657507E-09    1.22835504E-10
    7.81927263E-09    1.63770644E-10
    9.24016809E-09    2.12887959E-10
    1.07792030E-08    2.70929576E-10
    1.24363143E-08    3.38637211E-10
    1.42114341E-08    4.16752139E-10
    1.61044901E-08    5.06015163E-10
    1.81154052E-08    6.07166586E-10
    2.02440977E-08    7.20946182E-10
    2.24904811E-08    8.48093163E-10
    2.48544644E-08    9.89346157E-10
    2.73359519E-08    1.14544317E-09
    2.99348434E-08    1.31712156E-09
    3.26510338E-08    1.50511802E-09
    3.54844136E-08    1.71016851E-09
    3.84348686E-08    1.93300828E-09
    4.15022798E-08    2.17437181E-09
    4.46865238E-08    2.43499278E-09
    4.79874726E-08    2.71560405E-09
    5.14049934E-08    3.01693762E-09
    5.49389490E-08    3.33972461E-09
    5.85891974E-08    3.68469525E-09
    6.23555922E-08    4.05257879E-09
    6.62379822E-08    4.44410354E-09
    7.02362119E-08    4.85999681E-09
    7.43501209E-08    5.30098486E-09
    7.85795445E-08    5.76779291E-09
    8.29243133E-08    6.26114510E-09
    8.73842533E-08    6.78176444E-09
    9.19591861E-08    7.33037280E-09
    9.66489286E-08    7.90769088E-09
    1.01453293E-07    8.51443816E-09
    1.06372088E-07    9.15133292E-09
    1.11405116E-07    9.81909215E-09
    1.16552177E-07    1.05184316E-08
    1.21813064E-07    1.12500656E-08
    1.27187568E-07    1.20147072E-08
    1.32675474E-07    1.28130682E-08
    1.38276563E-07    1.36458587E-08
    1.43990612E-07    1.45137876E-08
    1.49817391E-07    1.54175624E-08
    1.55756670E-07    1.63578888E-08
    1.61808210E-07    1.73354712E-08
    1.67971771E-07    1.83510125E-08
    1.74247107E-07    1.94052139E-08
    1.80633967E-07    2.04987750E-08
    1.87132097E-07    2.16323939E-08
    1.93741239E-07    2.28067669E-08
    2.00461128E-07    2.40225886E-08
    2.07291497E-07    2.52805521E-08
    2.14232073E-07    2.65813485E-08
    2.21282581E-07    2.79256672E-08
    2.28442740E-07    2.93141958E-08
    2.35712264E-07    3.07476202E-08
    2.43090864E-07    3.22266244E-08
    2.50578246E-07    3.37518903E-08
    2.58174112E-07    3.53240981E-08
    2.65878160E-07    3.69439260E-08
    2.73690084E-07    3.86120503E-08
    2.81609572E-07    4.03291452E-08
    2.89636309E-07    4.20958829E-08
    2.97769976E-07    4.39129336E-08
    3.06010250E-07    4.57809655E-08
    3.14356803E-07    4.77006445E-08
    3.22809302E-07    4.96726345E-08
    3.31367413E-07    5.16975972E-08
    3.40030793E-07    5.37761922E-08
    3.48799100E-07    5.59090767E-08
    3.57671985E-07    5.80969058E-08
    3.66649094E-07    6.03403325E-08
    3.75730071E-07    6.26400071E-08
    3.84914556E-07    6.49965779E-08
    3.94202183E-07    6.74106907E-08
    4.03592583E-07    6.98829892E-08
    4.13085383E-07    7.24141143E-08
    4.22680207E-07    7.50047047E-08
    4.32376673E-07    7.76553968E-08
    4.42174396E-07    8.03668242E-08
    4.52072987E-07    8.31396182E-08
    4.62072052E-07    8.59744075E-08
    4.72171196E-07    8.88718184E-08
    4.82370017E-07    9.18324744E-08
    4.92668110E-07    9.48569966E-08
    5.03065066E-07    9.79460032E-08
    5.13560473E-07    1.01100110E-07
    5.24153915E-07    1.04319930E-07
    5.34844971E-07    1.07606074E-07
    5.45633217E-07    1.10959149E-07
    5.56518224E-07    1.14379761E-07
    5.67499562E-07    1.17868510E-07
    5.78576794E-07    1.21425997E-07
    5.89749482E-07    1.25052818E-07
    6.01017182E-07    1.28749567E-07
    6.12379448E-07    1.32516834E-07
    6.23835828E-07    1.36355207E-07
    6.35385870E-07    1.40265271E-07
    6.47029115E-07    1.44247609E-07
    6.58765101E-07    1.48302799E-07
    6.70593364E-07    1.52431416E-07
    6.82513435E-07    1.56634035E-07
    6.94524842E-07    1.60911225E-07
    7.06627108E-07    1.65263553E-07
    7.18819755E-07    1.69691583E-07
    7.31102299E-07    1.74195876E-07
    7.43474254E-07    1.78776988E-07
    7.55935131E-07    1.83435476E-07
    7.68484435E-07    1.88171889E-07
    7.81121670E-07    1.92986775E-07
    7.93846336E-07    1.97880681E-07
    8.06657929E-07    2.02854147E-07
    8.19555942E-07    2.07907711E-07
    8.32539865E-07    2.13041909E-07
    8.45609184E-07    2.18257273E-07
    8.58763382E-07    2.23554330E-07
    8.72001938E-07    2.28933606E-07
    8.85324330E-07    2.34395623E-07
    8.98730029E-07    2.39940898E-07
    9.12218507E-07    2.45569947E-07
    9.25789229E-07    2.51283281E-07
    9.39441660E-07    2.57081409E-07
    9.53175260E-07    2.62964833E-07
    9.66989485E-07    2.68934057E-07
    9.80883791E-07    2.74989576E-07
    9.94857628E-07    2.81131886E-07
    1.00891044E-06    2.87361476E-07
    1.02304168E-06    2.93678833E-07
    1.03725079E-06    3.00084441E-07
    1.05153720E-06    3.06578779E-07
    1.06590035E-06    3.13162323E-07
    1.08033968E-06    3.19835546E-07
    1.09485461E-06    3.26598915E-07
    1.10944457E-06    3.33452897E-07
    1.12410898E-06    3.40397952E-07
    1.13884728E-06    3.47434538E-07
    1.15365886E-06    3.54563109E-07
    1.16854316E-06    3.61784114E-07
