                 x                 y
0.00000000E+00    6.28318531E+00
-3.94784176E-03    6.28318531E+00
-7.89568118E-03    6.28318283E+00
-1.18435167E-02    6.28317787E+00
-1.57913468E-02    6.28317042E+00
-1.97391698E-02    6.28316050E+00
-2.36869843E-02    6.28314810E+00
-2.76347887E-02    6.28313322E+00
-3.15825813E-02    6.28311585E+00
-3.55303608E-02    6.28309601E+00
-3.94781254E-02    6.28307369E+00
-4.34258736E-02    6.28304888E+00
-4.73736040E-02    6.28302160E+00
-5.13213148E-02    6.28299183E+00
-5.52690046E-02    6.28295958E+00
-5.92166718E-02    6.28292486E+00
-6.31643149E-02    6.28288765E+00
-6.71119322E-02    6.28284796E+00
-7.10595222E-02    6.28280580E+00
-7.50070835E-02    6.28276115E+00
-7.89546143E-02    6.28271402E+00
-8.29021132E-02    6.28266441E+00
-8.68495786E-02    6.28261232E+00
-9.07970089E-02    6.28255775E+00
-9.47444026E-02    6.28250071E+00
-9.86917581E-02    6.28244118E+00
-1.02639074E-01    6.28237917E+00
-1.06586348E-01    6.28231468E+00
-1.10533580E-01    6.28224771E+00
-1.14480767E-01    6.28217826E+00
-1.18427908E-01    6.28210633E+00
-1.22375002E-01    6.28203192E+00
-1.26322047E-01    6.28195503E+00
-1.30269041E-01    6.28187566E+00
-1.34215982E-01    6.28179381E+00
-1.38162870E-01    6.28170948E+00
-1.42109703E-01    6.28162267E+00
-1.46056479E-01    6.28153338E+00
-1.50003196E-01    6.28144161E+00
-1.53949853E-01    6.28134736E+00
-1.57896449E-01    6.28125064E+00
-1.61842982E-01    6.28115143E+00
-1.65789450E-01    6.28104974E+00
-1.69735852E-01    6.28094557E+00
-1.73682185E-01    6.28083893E+00
-1.77628450E-01    6.28072980E+00
-1.81574644E-01    6.28061819E+00
-1.85520765E-01    6.28050411E+00
-1.89466812E-01    6.28038754E+00
-1.93412784E-01    6.28026850E+00
-1.97358678E-01    6.28014698E+00
-2.01304494E-01    6.28002297E+00
-2.05250230E-01    6.27989649E+00
-2.09195884E-01    6.27976753E+00
-2.13141454E-01    6.27963609E+00
-2.17086940E-01    6.27950217E+00
-2.21032339E-01    6.27936578E+00
-2.24977649E-01    6.27922690E+00
-2.28922871E-01    6.27908555E+00
-2.32868001E-01    6.27894171E+00
-2.36813039E-01    6.27879540E+00
-2.40757982E-01    6.27864661E+00
-2.44702829E-01    6.27849534E+00
-2.48647579E-01    6.27834159E+00
-2.52592230E-01    6.27818536E+00
-2.56536781E-01    6.27802666E+00
-2.60481229E-01    6.27786547E+00
-2.64425574E-01    6.27770181E+00
-2.68369814E-01    6.27753567E+00
-2.72313947E-01    6.27736705E+00
-2.76257972E-01    6.27719596E+00
-2.80201886E-01    6.27702238E+00
-2.84145690E-01    6.27684633E+00
-2.88089380E-01    6.27666780E+00
-2.92032956E-01    6.27648679E+00
-2.95976416E-01    6.27630331E+00
-2.99919759E-01    6.27611734E+00
-3.03862982E-01    6.27592890E+00
-3.07806084E-01    6.27573798E+00
-3.11749064E-01    6.27554459E+00
-3.15691921E-01    6.27534872E+00
-3.19634651E-01    6.27515036E+00
-3.23577255E-01    6.27494954E+00
-3.27519731E-01    6.27474623E+00
-3.31462076E-01    6.27454045E+00
-3.35404289E-01    6.27433219E+00
-3.39346370E-01    6.27412146E+00
-3.43288315E-01    6.27390825E+00
-3.47230125E-01    6.27369256E+00
-3.51171796E-01    6.27347439E+00
-3.55113328E-01    6.27325375E+00
-3.59054720E-01    6.27303063E+00
-3.62995968E-01    6.27280504E+00
-3.66937073E-01    6.27257697E+00
-3.70878031E-01    6.27234642E+00
-3.74818843E-01    6.27211340E+00
-3.78759506E-01    6.27187790E+00
-3.82700019E-01    6.27163992E+00
-3.86640379E-01    6.27139947E+00
-3.90580587E-01    6.27115655E+00
-3.94520639E-01    6.27091114E+00
-3.98460535E-01    6.27066327E+00
-4.02400273E-01    6.27041291E+00
-4.06339851E-01    6.27016009E+00
-4.10279268E-01    6.26990478E+00
-4.14218522E-01    6.26964700E+00
-4.18157611E-01    6.26938675E+00
-4.22096535E-01    6.26912402E+00
