                 x                 y
    1.00000000E+00    0.00000000E+00
    1.00000000E+00    6.28318531E-03
    9.99960522E-01    1.25663706E-02
    9.99881567E-01    1.88493079E-02
    9.99763140E-01    2.51317491E-02
    9.99605247E-01    3.14134463E-02
    9.99407894E-01    3.76941516E-02
    9.99171090E-01    4.39736171E-02
    9.98894844E-01    5.02515951E-02
    9.98579170E-01    5.65278377E-02
    9.98224079E-01    6.28020974E-02
    9.97829587E-01    6.90741267E-02
    9.97395710E-01    7.53436782E-02
    9.96922466E-01    8.16105044E-02
    9.96409874E-01    8.78743584E-02
    9.95857956E-01    9.41349930E-02
    9.95266734E-01    1.00392161E-01
    9.94636232E-01    1.06645617E-01
    9.93966476E-01    1.12895112E-01
    9.93257493E-01    1.19140402E-01
    9.92509311E-01    1.25381240E-01
    9.91721962E-01    1.31617379E-01
    9.90895477E-01    1.37848575E-01
    9.90029889E-01    1.44074581E-01
    9.89125234E-01    1.50295152E-01
    9.88181547E-01    1.56510043E-01
    9.87198867E-01    1.62719009E-01
    9.86177234E-01    1.68921806E-01
    9.85116688E-01    1.75118189E-01
    9.84017273E-01    1.81307914E-01
    9.82879032E-01    1.87490737E-01
    9.81702012E-01    1.93666415E-01
    9.80486258E-01    1.99834704E-01
    9.79231821E-01    2.05995362E-01
    9.77938751E-01    2.12148146E-01
    9.76607099E-01    2.18292813E-01
    9.75236919E-01    2.24429123E-01
    9.73828265E-01    2.30556833E-01
    9.72381195E-01    2.36675702E-01
    9.70895766E-01    2.42785490E-01
    9.69372037E-01    2.48885955E-01
    9.67810069E-01    2.54976859E-01
    9.66209925E-01    2.61057961E-01
    9.64571670E-01    2.67129022E-01
    9.62895367E-01    2.73189803E-01
    9.61181085E-01    2.79240066E-01
    9.59428892E-01    2.85279573E-01
    9.57638857E-01    2.91308086E-01
    9.55811053E-01    2.97325369E-01
    9.53945552E-01    3.03331185E-01
    9.52042429E-01    3.09325297E-01
    9.50101760E-01    3.15307471E-01
    9.48123621E-01    3.21277471E-01
    9.46108093E-01    3.27235062E-01
    9.44055255E-01    3.33180011E-01
    9.41965189E-01    3.39112084E-01
    9.39837978E-01    3.45031047E-01
    9.37673709E-01    3.50936669E-01
    9.35472465E-01    3.56828717E-01
    9.33234336E-01    3.62706960E-01
    9.30959411E-01    3.68571168E-01
    9.28647780E-01    3.74421109E-01
    9.26299535E-01    3.80256555E-01
    9.23914769E-01    3.86077277E-01
    9.21493579E-01    3.91883045E-01
    9.19036059E-01    3.97673633E-01
    9.16542309E-01    4.03448812E-01
    9.14012427E-01    4.09208357E-01
    9.11446513E-01    4.14952042E-01
    9.08844671E-01    4.20679641E-01
    9.06207003E-01    4.26390930E-01
    9.03533615E-01    4.32085685E-01
    9.00824612E-01    4.37763683E-01
    8.98080103E-01    4.43424701E-01
    8.95300197E-01    4.49068517E-01
    8.92485004E-01    4.54694910E-01
    8.89634636E-01    4.60303661E-01
    8.86749207E-01    4.65894548E-01
    8.83828832E-01    4.71467354E-01
    8.80873625E-01    4.77021860E-01
    8.77883706E-01    4.82557849E-01
    8.74859192E-01    4.88075104E-01
    8.71800204E-01    4.93573409E-01
    8.68706863E-01    4.99052549E-01
    8.65579292E-01    5.04512309E-01
    8.62417616E-01    5.09952477E-01
    8.59221961E-01    5.15372839E-01
    8.55992452E-01    5.20773184E-01
    8.52729218E-01    5.26153300E-01
    8.49432390E-01    5.31512978E-01
    8.46102097E-01    5.36852007E-01
    8.42738472E-01    5.42170179E-01
    8.39341649E-01    5.47467287E-01
    8.35911762E-01    5.52743124E-01
    8.32448947E-01    5.57997484E-01
    8.28953343E-01    5.63230161E-01
    8.25425087E-01    5.68440952E-01
    8.21864319E-01    5.73629653E-01
    8.18271182E-01    5.78796061E-01
    8.14645817E-01    5.83939976E-01
    8.10988368E-01    5.89061197E-01
    8.07298981E-01    5.94159525E-01
    8.03577801E-01    5.99234760E-01
    7.99824976E-01    6.04286704E-01
    7.96040655E-01    6.09315162E-01
