                 x                 y
0.00000000E+00    6.28318531E+00
-3.94784176E-01    6.28318531E+00
-7.87242018E-01    6.25852645E+00
-1.17584701E+00    6.20949936E+00
-1.55908238E+00    6.13649274E+00
-1.93544909E+00    6.03999633E+00
-2.30347466E+00    5.92060289E+00
-2.66172264E+00    5.77900898E+00
-3.00880257E+00    5.61601458E+00
-3.34338025E+00    5.43252136E+00
-3.66418814E+00    5.22952946E+00
-3.97003558E+00    5.00813289E+00
-4.25981864E+00    4.76951345E+00
-4.53252946E+00    4.51493322E+00
-4.78726464E+00    4.24572573E+00
-5.02323263E+00    3.96328599E+00
-5.23975991E+00    3.66905938E+00
-5.43629569E+00    3.36452983E+00
-5.61241518E+00    3.05120726E+00
-5.76782110E+00    2.73061477E+00
-5.90234372E+00    2.40427564E+00
-6.01593909E+00    2.07370057E+00
-6.10868577E+00    1.74037519E+00
-6.18078002E+00    1.40574836E+00
-6.23252970E+00    1.07122118E+00
-6.26434682E+00    7.38137114E-01
-6.27673928E+00    4.07773244E-01
-6.27030162E+00    8.13328051E-02
-6.24570533E+00   -2.40060932E-01
-6.20368867E+00   -5.55369408E-01
-6.14504638E+00   -8.63642163E-01
-6.07061942E+00   -1.16401889E+00
-5.98128494E+00   -1.45573027E+00
-5.87794651E+00   -1.73809758E+00
-5.76152499E+00   -2.01053132E+00
-5.63294989E+00   -2.27252889E+00
-5.49315148E+00   -2.52367147E+00
-5.34305360E+00   -2.76362023E+00
-5.18356729E+00   -2.99211201E+00
-5.01558517E+00   -3.20895467E+00
-4.83997663E+00   -3.41402201E+00
-4.65758377E+00   -3.60724867E+00
-4.46921807E+00   -3.78862489E+00
-4.27565775E+00   -3.95819124E+00
-4.07764580E+00   -4.11603350E+00
-3.87588851E+00   -4.26227767E+00
-3.67105461E+00   -4.39708514E+00
-3.46377484E+00   -4.52064815E+00
-3.25464193E+00   -4.63318544E+00
-3.04421090E+00   -4.73493827E+00
-2.83299972E+00   -4.82616662E+00
-2.62149021E+00   -4.90714580E+00
-2.41012906E+00   -4.97816331E+00
-2.19932911E+00   -5.03951593E+00
-1.98947073E+00   -5.09150723E+00
-1.78090324E+00   -5.13444520E+00
-1.57394646E+00   -5.16864027E+00
-1.36889222E+00   -5.19440347E+00
-1.16600599E+00   -5.21204485E+00
-9.65528373E-01   -5.22187216E+00
-7.67676712E-01   -5.22418962E+00
-5.72646556E-01   -5.21929699E+00
-3.80613153E-01   -5.20748864E+00
-1.91732865E-01   -5.18905294E+00
-6.14453639E-03   -5.16427164E+00
1.76029202E-01   -5.13341946E+00
3.54680687E-01   -5.09676370E+00
5.29716044E-01   -5.05456401E+00
7.01054069E-01   -5.00707222E+00
8.68625179E-01   -4.95453222E+00
1.03237042E+00   -4.89717990E+00
1.19224055E+00   -4.83524319E+00
1.34819517E+00   -4.76894208E+00
1.50020190E+00   -4.69848873E+00
1.64823566E+00   -4.62408759E+00
1.79227793E+00   -4.54593553E+00
1.93231616E+00   -4.46422205E+00
2.06834312E+00   -4.37912940E+00
2.20035636E+00   -4.29083288E+00
2.32835771E+00   -4.19950095E+00
2.45235281E+00   -4.10529555E+00
2.57235066E+00   -4.00837224E+00
2.68836324E+00   -3.90888051E+00
2.80040514E+00   -3.80696395E+00
2.90849324E+00   -3.70276053E+00
3.01264636E+00   -3.59640281E+00
3.11288504E+00   -3.48801818E+00
3.20923125E+00   -3.37772909E+00
3.30170816E+00   -3.26565327E+00
3.39033996E+00   -3.15190396E+00
3.47515161E+00   -3.03659011E+00
3.55616875E+00   -2.91981661E+00
3.63341748E+00   -2.80168449E+00
3.70692422E+00   -2.68229110E+00
3.77671563E+00   -2.56173036E+00
3.84281847E+00   -2.44009288E+00
3.90525949E+00   -2.31746618E+00
3.96406536E+00   -2.19393489E+00
4.01926258E+00   -2.06958086E+00
4.07087740E+00   -1.94448340E+00
4.11893579E+00   -1.81871937E+00
4.16346337E+00   -1.69236338E+00
4.20448535E+00   -1.56548795E+00
4.24202652E+00   -1.43816360E+00
4.27611121E+00   -1.31045905E+00
4.30676324E+00   -1.18244133E+00
4.33400594E+00   -1.05417589E+00
4.35786211E+00   -9.25726778E-01
4.37835401E+00   -7.97156710E-01
4.39550337E+00   -6.68527220E-01
4.40933137E+00   -5.39898767E-01
4.41985867E+00   -4.11330841E-01
4.42710540E+00   -2.82882074E-01
4.43109115E+00   -1.54610346E-01
4.43183503E+00   -2.65728773E-02
4.42935566E+00    1.01173665E-01
4.42367119E+00    2.28573079E-01
4.41479934E+00    3.55569535E-01
4.40275740E+00    4.82107487E-01
4.38756230E+00    6.08131587E-01
4.36923061E+00    7.33586601E-01
4.34777859E+00    8.58417333E-01
4.32322224E+00    9.82568542E-01
4.29557730E+00    1.10598487E+00
4.26485937E+00    1.22861076E+00
4.23108388E+00    1.35039041E+00
