                 x                 y
    1.00000000E+00    0.00000000E+00
    9.99999803E-01    6.28318531E-04
    9.99999210E-01    1.25663681E-03
    9.99998223E-01    1.88495460E-03
    9.99996842E-01    2.51327164E-03
    9.99995065E-01    3.14158769E-03
    9.99992894E-01    3.76990250E-03
    9.99990328E-01    4.39821582E-03
    9.99987367E-01    5.02652741E-03
    9.99984011E-01    5.65483701E-03
    9.99980261E-01    6.28314438E-03
    9.99976116E-01    6.91144927E-03
    9.99971576E-01    7.53975143E-03
    9.99966641E-01    8.16805061E-03
    9.99961311E-01    8.79634657E-03
    9.99955587E-01    9.42463905E-03
    9.99949468E-01    1.00529278E-02
    9.99942954E-01    1.06812126E-02
    9.99936046E-01    1.13094932E-02
    9.99928742E-01    1.19377693E-02
    9.99921044E-01    1.25660407E-02
    9.99912951E-01    1.31943072E-02
    9.99904464E-01    1.38225684E-02
    9.99895581E-01    1.44508242E-02
    9.99886304E-01    1.50790742E-02
    9.99876632E-01    1.57073183E-02
    9.99866566E-01    1.63355563E-02
    9.99856105E-01    1.69637877E-02
    9.99845249E-01    1.75920125E-02
    9.99833998E-01    1.82202303E-02
    9.99822352E-01    1.88484410E-02
    9.99810312E-01    1.94766441E-02
    9.99797877E-01    2.01048396E-02
    9.99785048E-01    2.07330272E-02
    9.99771823E-01    2.13612066E-02
    9.99758204E-01    2.19893775E-02
    9.99744191E-01    2.26175398E-02
    9.99729782E-01    2.32456931E-02
    9.99714979E-01    2.38738373E-02
    9.99699782E-01    2.45019720E-02
    9.99684189E-01    2.51300971E-02
    9.99668202E-01    2.57582122E-02
    9.99651821E-01    2.63863172E-02
    9.99635044E-01    2.70144118E-02
    9.99617873E-01    2.76424957E-02
    9.99600308E-01    2.82705686E-02
    9.99582347E-01    2.88986304E-02
    9.99563993E-01    2.95266809E-02
    9.99545243E-01    3.01547196E-02
    9.99526099E-01    3.07827465E-02
    9.99506560E-01    3.14107611E-02
    9.99486627E-01    3.20387634E-02
    9.99466299E-01    3.26667531E-02
    9.99445577E-01    3.32947298E-02
    9.99424460E-01    3.39226934E-02
    9.99402948E-01    3.45506436E-02
    9.99381042E-01    3.51785802E-02
    9.99358742E-01    3.58065029E-02
    9.99336046E-01    3.64344115E-02
    9.99312957E-01    3.70623056E-02
    9.99289473E-01    3.76901851E-02
    9.99265594E-01    3.83180498E-02
    9.99241321E-01    3.89458993E-02
    9.99216653E-01    3.95737335E-02
    9.99191591E-01    4.02015520E-02
    9.99166134E-01    4.08293547E-02
    9.99140283E-01    4.14571412E-02
    9.99114038E-01    4.20849114E-02
    9.99087398E-01    4.27126649E-02
    9.99060363E-01    4.33404016E-02
    9.99032935E-01    4.39681212E-02
    9.99005111E-01    4.45958234E-02
    9.98976894E-01    4.52235081E-02
    9.98948282E-01    4.58511748E-02
    9.98919276E-01    4.64788235E-02
    9.98889875E-01    4.71064538E-02
    9.98860080E-01    4.77340655E-02
    9.98829891E-01    4.83616584E-02
    9.98799307E-01    4.89892322E-02
    9.98768329E-01    4.96167866E-02
    9.98736957E-01    5.02443215E-02
    9.98705190E-01    5.08718365E-02
    9.98673029E-01    5.14993314E-02
    9.98640474E-01    5.21268060E-02
    9.98607525E-01    5.27542601E-02
    9.98574181E-01    5.33816933E-02
    9.98540443E-01    5.40091054E-02
    9.98506311E-01    5.46364962E-02
    9.98471785E-01    5.52638654E-02
    9.98436865E-01    5.58912128E-02
    9.98401550E-01    5.65185382E-02
    9.98365841E-01    5.71458412E-02
    9.98329738E-01    5.77731217E-02
    9.98293241E-01    5.84003794E-02
    9.98256350E-01    5.90276140E-02
    9.98219065E-01    5.96548253E-02
    9.98181386E-01    6.02820131E-02
    9.98143313E-01    6.09091770E-02
    9.98104845E-01    6.15363170E-02
    9.98065984E-01    6.21634326E-02
    9.98026728E-01    6.27905237E-02
    9.97987079E-01    6.34175900E-02
    9.97947035E-01    6.40446312E-02
    9.97906598E-01    6.46716472E-02
    9.97865767E-01    6.52986376E-02
    9.97824541E-01    6.59256023E-02
    9.97782922E-01    6.65525409E-02
    9.97740909E-01    6.71794533E-02
    9.97698502E-01    6.78063391E-02
    9.97655701E-01    6.84331982E-02
    9.97612506E-01    6.90600303E-02
    9.97568918E-01    6.96868350E-02
    9.97524935E-01    7.03136123E-02
    9.97480559E-01    7.09403619E-02
    9.97435789E-01    7.15670834E-02
    9.97390625E-01    7.21937766E-02
    9.97345068E-01    7.28204414E-02
    9.97299116E-01    7.34470774E-02
    9.97252771E-01    7.40736844E-02
    9.97206033E-01    7.47002622E-02
    9.97158900E-01    7.53268105E-02
    9.97111374E-01    7.59533290E-02
    9.97063454E-01    7.65798176E-02
    9.97015141E-01    7.72062759E-02
    9.96966434E-01    7.78327038E-02
    9.96917334E-01    7.84591009E-02
    9.96867840E-01    7.90854670E-02
    9.96817952E-01    7.97118020E-02
    9.96767671E-01    8.03381054E-02
    9.96716996E-01    8.09643772E-02
    9.96665928E-01    8.15906169E-02
    9.96614466E-01    8.22168245E-02
    9.96562611E-01    8.28429996E-02
    9.96510363E-01    8.34691420E-02
    9.96457721E-01    8.40952515E-02
    9.96404686E-01    8.47213277E-02
    9.96351257E-01    8.53473705E-02
    9.96297435E-01    8.59733796E-02
    9.96243220E-01    8.65993548E-02
    9.96188611E-01    8.72252958E-02
    9.96133609E-01    8.78512023E-02
    9.96078214E-01    8.84770742E-02
    9.96022425E-01    8.91029111E-02
    9.95966244E-01    8.97287129E-02
    9.95909669E-01    9.03544792E-02
    9.95852701E-01    9.09802099E-02
    9.95795340E-01    9.16059046E-02
    9.95737586E-01    9.22315632E-02
    9.95679438E-01    9.28571854E-02
    9.95620898E-01    9.34827709E-02
    9.95561964E-01    9.41083195E-02
    9.95502638E-01    9.47338310E-02
    9.95442918E-01    9.53593050E-02
    9.95382806E-01    9.59847414E-02
    9.95322300E-01    9.66101399E-02
    9.95261402E-01    9.72355003E-02
    9.95200111E-01    9.78608223E-02
    9.95138427E-01    9.84861057E-02
    9.95076349E-01    9.91113501E-02
    9.95013880E-01    9.97365555E-02
    9.94951017E-01    1.00361721E-01
    9.94887761E-01    1.00986848E-01
    9.94824113E-01    1.01611934E-01
    9.94760072E-01    1.02236981E-01
    9.94695638E-01    1.02861987E-01
    9.94630812E-01    1.03486952E-01
    9.94565593E-01    1.04111877E-01
    9.94499981E-01    1.04736760E-01
    9.94433977E-01    1.05361602E-01
    9.94367580E-01    1.05986403E-01
    9.94300790E-01    1.06611161E-01
    9.94233608E-01    1.07235878E-01
    9.94166034E-01    1.07860552E-01
    9.94098067E-01    1.08485184E-01
    9.94029707E-01    1.09109773E-01
    9.93960955E-01    1.09734318E-01
    9.93891811E-01    1.10358821E-01
    9.93822274E-01    1.10983280E-01
    9.93752345E-01    1.11607695E-01
    9.93682024E-01    1.12232066E-01
    9.93611310E-01    1.12856392E-01
    9.93540204E-01    1.13480674E-01
    9.93468706E-01    1.14104912E-01
    9.93396816E-01    1.14729104E-01
    9.93324533E-01    1.15353251E-01
    9.93251859E-01    1.15977352E-01
    9.93178792E-01    1.16601408E-01
    9.93105333E-01    1.17225418E-01
    9.93031482E-01    1.17849381E-01
    9.92957239E-01    1.18473298E-01
    9.92882604E-01    1.19097168E-01
    9.92807577E-01    1.19720991E-01
    9.92732158E-01    1.20344767E-01
    9.92656348E-01    1.20968495E-01
    9.92580145E-01    1.21592175E-01
    9.92503550E-01    1.22215808E-01
    9.92426564E-01    1.22839392E-01
    9.92349186E-01    1.23462928E-01
    9.92271416E-01    1.24086415E-01
    9.92193254E-01    1.24709853E-01
    9.92114701E-01    1.25333242E-01
    9.92035756E-01    1.25956581E-01
    9.91956419E-01    1.26579871E-01
    9.91876691E-01    1.27203110E-01
    9.91796571E-01    1.27826300E-01
    9.91716060E-01    1.28449439E-01
    9.91635157E-01    1.29072527E-01
    9.91553862E-01    1.29695564E-01
    9.91472177E-01    1.30318550E-01
    9.91390099E-01    1.30941485E-01
    9.91307631E-01    1.31564368E-01
    9.91224771E-01    1.32187199E-01
    9.91141519E-01    1.32809978E-01
    9.91057877E-01    1.33432704E-01
    9.90973843E-01    1.34055378E-01
    9.90889418E-01    1.34677998E-01
    9.90804602E-01    1.35300566E-01
    9.90719394E-01    1.35923080E-01
