                 x                 y
0.00000000E+00    0.00000000E+00
1.18531137E-07    3.72380223E-10
2.37057594E-07    1.48950619E-09
3.55574692E-07    3.35133380E-09
4.74077752E-07    5.95778954E-09
5.92562097E-07    9.30877051E-09
7.11023047E-07    1.34041444E-08
8.29455926E-07    1.82437495E-08
9.47856059E-07    2.38273948E-08
1.06621877E-06    3.01548599E-08
1.18453939E-06    3.72258948E-08
1.30281324E-06    4.50402204E-08
1.42103566E-06    5.35975283E-08
1.53920198E-06    6.28974805E-08
1.65730753E-06    7.29397099E-08
1.77534766E-06    8.37238201E-08
1.89331769E-06    9.52493852E-08
2.01121297E-06    1.07515950E-07
2.12902886E-06    1.20523031E-07
2.24676069E-06    1.34270113E-07
2.36440382E-06    1.48756656E-07
2.48195361E-06    1.63982085E-07
2.59940540E-06    1.79945801E-07
2.71675458E-06    1.96647172E-07
2.83399650E-06    2.14085541E-07
2.95112654E-06    2.32260217E-07
3.06814007E-06    2.51170484E-07
3.18503247E-06    2.70815595E-07
3.30179913E-06    2.91194775E-07
3.41843543E-06    3.12307218E-07
3.53493678E-06    3.34152091E-07
3.65129857E-06    3.56728533E-07
3.76751621E-06    3.80035651E-07
3.88358511E-06    4.04072525E-07
3.99950069E-06    4.28838206E-07
4.11525837E-06    4.54331717E-07
4.23085359E-06    4.80552051E-07
4.34628177E-06    5.07498172E-07
4.46153836E-06    5.35169018E-07
4.57661882E-06    5.63563495E-07
4.69151859E-06    5.92680483E-07
4.80623315E-06    6.22518831E-07
4.92075796E-06    6.53077362E-07
5.03508850E-06    6.84354870E-07
5.14922026E-06    7.16350119E-07
5.26314874E-06    7.49061846E-07
5.37686942E-06    7.82488760E-07
5.49037784E-06    8.16629542E-07
5.60366949E-06    8.51482842E-07
5.71673992E-06    8.87047286E-07
5.82958466E-06    9.23321468E-07
5.94219924E-06    9.60303958E-07
6.05457924E-06    9.97993294E-07
6.16672020E-06    1.03638799E-06
6.27861771E-06    1.07548653E-06
6.39026734E-06    1.11528736E-06
6.50166468E-06    1.15578893E-06
6.61280535E-06    1.19698962E-06
6.72368495E-06    1.23888782E-06
6.83429910E-06    1.28148186E-06
6.94464344E-06    1.32477007E-06
7.05471361E-06    1.36875074E-06
7.16450526E-06    1.41342213E-06
7.27401407E-06    1.45878248E-06
