                 x                 y
    1.00000000E+00    0.00000000E+00
    9.98026079E-01    6.28318531E-02
    9.92112132E-01    1.25415657E-01
    9.82281575E-01    1.87504352E-01
    9.68573328E-01    2.48852848E-01
    9.51041663E-01    3.09219003E-01
    9.29755978E-01    3.68364587E-01
    9.04800526E-01    4.26056228E-01
    8.76274069E-01    4.82066339E-01
    8.44289485E-01    5.36174023E-01
    8.08973314E-01    5.88165950E-01
    7.70465246E-01    6.37837200E-01
    7.28917566E-01    6.84992076E-01
    6.84494539E-01    7.29444875E-01
    6.37371754E-01    7.71020622E-01
    5.87735423E-01    8.09555758E-01
    5.35781630E-01    8.44898784E-01
    4.81715558E-01    8.76910850E-01
    4.25750661E-01    9.05466304E-01
    3.68107819E-01    9.30453174E-01
    3.09014461E-01    9.51773606E-01
    2.48703654E-01    9.69344243E-01
    1.87413188E-01    9.83096537E-01
    1.25384625E-01    9.92977019E-01
    6.28623483E-02    9.98947489E-01
    9.25976021E-05    1.00098516E+00
   -6.26775058E-02    9.99082752E-01
   -1.25200930E-01    9.93248467E-01
   -1.87231705E-01    9.83505991E-01
   -2.48525887E-01    9.69894367E-01
   -3.08842519E-01    9.52467833E-01
   -3.67944570E-01    9.31295599E-01
   -4.25599864E-01    9.06461566E-01
   -4.81581986E-01    8.78063985E-01
   -5.35671165E-01    8.46215066E-01
   -5.87655131E-01    8.11040525E-01
   -6.37329938E-01    7.72679087E-01
   -6.84500759E-01    7.31281935E-01
   -7.28982639E-01    6.87012109E-01
   -7.70601214E-01    6.40043870E-01
   -8.09193384E-01    5.90562007E-01
   -8.44607946E-01    5.38761114E-01
   -8.76706175E-01    4.84844826E-01
   -9.05362364E-01    4.29025024E-01
   -9.30464304E-01    3.71521004E-01
   -9.51913718E-01    3.12558620E-01
   -9.69626642E-01    2.52369406E-01
   -9.83533745E-01    1.91189669E-01
   -9.93580597E-01    1.29259574E-01
   -9.99727879E-01    6.68222014E-02
   -1.00195153E+00    4.12260950E-03
   -1.00024286E+00   -5.85931252E-02
   -9.94608530E-01   -1.21078863E-01
   -9.85070604E-01   -1.83089358E-01
   -9.71666399E-01   -2.44381213E-01
   -9.54448372E-01   -3.04713827E-01
   -9.33483913E-01   -3.63850331E-01
   -9.08855084E-01   -4.21558512E-01
   -8.80658302E-01   -4.77611716E-01
   -8.49003974E-01   -5.31789735E-01
   -8.14016063E-01   -5.83879665E-01
   -7.75831617E-01   -6.33676741E-01
   -7.34600237E-01   -6.80985132E-01
   -6.90483498E-01   -7.25618720E-01
   -6.43654329E-01   -7.67401821E-01
   -5.94296337E-01   -8.06169880E-01
   -5.42603101E-01   -8.41770122E-01
   -4.88777421E-01   -8.74062154E-01
   -4.33030525E-01   -9.02918521E-01
   -3.75581254E-01   -9.28225214E-01
   -3.16655208E-01   -9.49882127E-01
   -2.56483863E-01   -9.67803457E-01
   -1.95303671E-01   -9.81918048E-01
   -1.33355137E-01   -9.92169686E-01
   -7.08818707E-02   -9.98517327E-01
   -8.12963891E-03   -1.00093527E+00
    5.46546046E-02   -9.99413273E-01
    1.17223688E-01   -9.93956595E-01
    1.79331197E-01   -9.84585998E-01
    2.40732443E-01   -9.71337670E-01
    3.01185435E-01   -9.54263096E-01
    3.60451830E-01   -9.33428865E-01
    4.18297884E-01   -9.08916417E-01
    4.74495376E-01   -8.80821733E-01
    5.28822514E-01   -8.49254964E-01
    5.81064818E-01   -8.14340005E-01
    6.31015975E-01   -7.76214012E-01
    6.78478661E-01   -7.35026867E-01
    7.23265329E-01   -6.90940592E-01
    7.65198959E-01   -6.44128712E-01
    8.04113764E-01   -5.94775572E-01
    8.39855858E-01   -5.43075610E-01
    8.72283870E-01   -4.89232589E-01
    9.01269513E-01   -4.33458791E-01
    9.26698096E-01   -3.75974178E-01
    9.48468989E-01   -3.17005515E-01
    9.66496025E-01   -2.56785473E-01
    9.80707848E-01   -1.95551703E-01
    9.91048199E-01   -1.33545893E-01
    9.97476142E-01   -7.10128032E-02
    9.99966232E-01   -8.19929308E-03
    9.98508614E-01    5.46466611E-02
    9.93109063E-01    1.17276955E-01
    9.83788963E-01    1.79444342E-01
    9.70585219E-01    2.40903423E-01
    9.53550108E-01    3.01411617E-01
    9.32751069E-01    3.60730129E-01
    9.08270433E-01    4.18624903E-01
    8.80205089E-01    4.74867547E-01
    8.48666094E-01    5.29236242E-01
    8.13778230E-01    5.81516625E-01
    7.75679500E-01    6.31502633E-01
    7.34520575E-01    6.78997323E-01
    6.90464189E-01    7.23813646E-01
    6.43684489E-01    7.65775190E-01
    5.94366334E-01    8.04716870E-01
    5.42704561E-01    8.40485578E-01
    4.88903203E-01    8.72940783E-01
    4.33174679E-01    9.01955081E-01
    3.75738941E-01    9.27414689E-01
    3.16822608E-01    9.49219886E-01
    2.56658057E-01    9.67285402E-01
    1.95482507E-01    9.81540737E-01
    1.33537075E-01    9.91930439E-01
    7.10658258E-02    9.98414301E-01
    8.31480330E-03    1.00096752E+00
   -5.44689366E-02    9.99580767E-01
   -1.17038301E-01    9.94260235E-01
   -1.79147131E-01    9.85027582E-01
   -2.40551170E-01    9.71919845E-01
   -3.01009020E-01    9.54989284E-01
   -3.60283089E-01    9.34303159E-01
   -4.18140517E-01    9.09943463E-01
   -4.74354090E-01    8.82006587E-01
   -5.28703120E-01    8.50602930E-01
