                 x                 y
0.00000000E+00    6.28318531E+00
-3.94780280E-02    6.28306128E+00
-7.89544974E-02    6.28268921E+00
-1.18427850E-01    6.28206911E+00
-1.57896527E-01    6.28120100E+00
-1.97358970E-01    6.28008492E+00
-2.36813621E-01    6.27872092E+00
-2.76258924E-01    6.27710904E+00
-3.15693320E-01    6.27524935E+00
-3.55115252E-01    6.27314192E+00
-3.94523165E-01    6.27078684E+00
-4.33915502E-01    6.26818419E+00
-4.73290709E-01    6.26533409E+00
-5.12647230E-01    6.26223665E+00
-5.51983512E-01    6.25889198E+00
-5.91298003E-01    6.25530022E+00
-6.30589149E-01    6.25146151E+00
-6.69855400E-01    6.24737600E+00
-7.09095206E-01    6.24304386E+00
-7.48307017E-01    6.23846525E+00
-7.87489285E-01    6.23364036E+00
-8.26640464E-01    6.22856937E+00
-8.65759008E-01    6.22325249E+00
-9.04843372E-01    6.21768992E+00
-9.43892013E-01    6.21188189E+00
-9.82903390E-01    6.20582863E+00
-1.02187596E+00    6.19953036E+00
-1.06080819E+00    6.19298736E+00
-1.09969854E+00    6.18619986E+00
-1.13854548E+00    6.17916814E+00
-1.17734746E+00    6.17189248E+00
-1.21610297E+00    6.16437316E+00
-1.25481046E+00    6.15661048E+00
-1.29346842E+00    6.14860475E+00
-1.33207531E+00    6.14035628E+00
-1.37062961E+00    6.13186540E+00
-1.40912979E+00    6.12313245E+00
-1.44757435E+00    6.11415776E+00
-1.48596176E+00    6.10494170E+00
-1.52429050E+00    6.09548462E+00
-1.56255907E+00    6.08578691E+00
-1.60076594E+00    6.07584894E+00
-1.63890962E+00    6.06567110E+00
-1.67698860E+00    6.05525380E+00
-1.71500137E+00    6.04459745E+00
-1.75294643E+00    6.03370247E+00
-1.79082229E+00    6.02256929E+00
-1.82862745E+00    6.01119834E+00
-1.86636041E+00    5.99959009E+00
-1.90401969E+00    5.98774498E+00
-1.94160381E+00    5.97566349E+00
-1.97911127E+00    5.96334609E+00
-2.01654059E+00    5.95079326E+00
-2.05389031E+00    5.93800551E+00
-2.09115893E+00    5.92498333E+00
-2.12834500E+00    5.91172725E+00
-2.16544705E+00    5.89823778E+00
-2.20246360E+00    5.88451546E+00
-2.23939321E+00    5.87056083E+00
-2.27623440E+00    5.85637444E+00
-2.31298573E+00    5.84195685E+00
-2.34964575E+00    5.82730864E+00
-2.38621300E+00    5.81243036E+00
-2.42268605E+00    5.79732263E+00
-2.45906345E+00    5.78198603E+00
-2.49534377E+00    5.76642116E+00
-2.53152557E+00    5.75062865E+00
-2.56760743E+00    5.73460911E+00
-2.60358793E+00    5.71836318E+00
-2.63946564E+00    5.70189150E+00
-2.67523914E+00    5.68519472E+00
-2.71090703E+00    5.66827350E+00
-2.74646789E+00    5.65112850E+00
-2.78192033E+00    5.63376041E+00
-2.81726293E+00    5.61616991E+00
-2.85249432E+00    5.59835769E+00
-2.88761309E+00    5.58032446E+00
-2.92261785E+00    5.56207093E+00
-2.95750724E+00    5.54359782E+00
-2.99227987E+00    5.52490586E+00
-3.02693436E+00    5.50599579E+00
-3.06146935E+00    5.48686834E+00
-3.09588348E+00    5.46752429E+00
-3.13017539E+00    5.44796439E+00
-3.16434372E+00    5.42818942E+00
-3.19838712E+00    5.40820015E+00
-3.23230426E+00    5.38799738E+00
-3.26609378E+00    5.36758190E+00
-3.29975437E+00    5.34695452E+00
-3.33328468E+00    5.32611605E+00
-3.36668339E+00    5.30506731E+00
-3.39994920E+00    5.28380915E+00
-3.43308077E+00    5.26234239E+00
-3.46607682E+00    5.24066788E+00
-3.49893602E+00    5.21878648E+00
-3.53165709E+00    5.19669905E+00
-3.56423873E+00    5.17440647E+00
-3.59667966E+00    5.15190962E+00
-3.62897860E+00    5.12920938E+00
-3.66113427E+00    5.10630664E+00
-3.69314540E+00    5.08320232E+00
-3.72501072E+00    5.05989733E+00
-3.75672899E+00    5.03639258E+00
-3.78829895E+00    5.01268901E+00
-3.81971935E+00    4.98878755E+00
-3.85098894E+00    4.96468914E+00
-3.88210651E+00    4.94039473E+00
-3.91307081E+00    4.91590529E+00
-3.94388063E+00    4.89122178E+00
-3.97453475E+00    4.86634518E+00
-4.00503196E+00    4.84127646E+00
-4.03537106E+00    4.81601662E+00
-4.06555084E+00    4.79056665E+00
-4.09557012E+00    4.76492757E+00
-4.12542771E+00    4.73910037E+00
-4.15512243E+00    4.71308609E+00
-4.18465311E+00    4.68688574E+00
-4.21401859E+00    4.66050037E+00
-4.24321770E+00    4.63393101E+00
-4.27224929E+00    4.60717872E+00
-4.30111222E+00    4.58024454E+00
-4.32980535E+00    4.55312955E+00
-4.35832754E+00    4.52583481E+00
-4.38667767E+00    4.49836140E+00
-4.41485462E+00    4.47071041E+00
-4.44285727E+00    4.44288292E+00
-4.47068453E+00    4.41488004E+00
-4.49833528E+00    4.38670287E+00
-4.52580845E+00    4.35835253E+00
-4.55310295E+00    4.32983012E+00
-4.58021769E+00    4.30113679E+00
-4.60715161E+00    4.27227366E+00
-4.63390365E+00    4.24324187E+00
-4.66047275E+00    4.21404257E+00
-4.68685785E+00    4.18467691E+00
-4.71305793E+00    4.15514605E+00
-4.73907193E+00    4.12545115E+00
-4.76489885E+00    4.09559339E+00
-4.79053765E+00    4.06557395E+00
-4.81598733E+00    4.03539401E+00
-4.84124688E+00    4.00505477E+00
-4.86631530E+00    3.97455741E+00
-4.89119161E+00    3.94390315E+00
-4.91587482E+00    3.91309320E+00
-4.94036396E+00    3.88212877E+00
-4.96465805E+00    3.85101108E+00
-4.98875615E+00    3.81974137E+00
-5.01265730E+00    3.78832086E+00
-5.03636056E+00    3.75675080E+00
-5.05986499E+00    3.72503244E+00
-5.08316966E+00    3.69316702E+00
-5.10627365E+00    3.66115581E+00
-5.12917605E+00    3.62900006E+00
-5.15187596E+00    3.59670105E+00
-5.17437249E+00    3.56426006E+00
-5.19666473E+00    3.53167836E+00
-5.21875182E+00    3.49895724E+00
-5.24063288E+00    3.46609799E+00
-5.26230704E+00    3.43310191E+00
-5.28377346E+00    3.39997030E+00
-5.30503128E+00    3.36670447E+00
-5.32607967E+00    3.33330573E+00
-5.34691779E+00    3.29977541E+00
-5.36754482E+00    3.26611482E+00
-5.38795995E+00    3.23232530E+00
-5.40816237E+00    3.19840817E+00
-5.42815128E+00    3.16436478E+00
-5.44792590E+00    3.13019647E+00
-5.46748544E+00    3.09590460E+00
-5.48682913E+00    3.06149051E+00
-5.50595621E+00    3.02695556E+00
-5.52486593E+00    2.99230111E+00
-5.54355753E+00    2.95752854E+00
-5.56203028E+00    2.92263922E+00
-5.58028345E+00    2.88763452E+00
-5.59831631E+00    2.85251583E+00
-5.61612817E+00    2.81728453E+00
-5.63371831E+00    2.78194202E+00
-5.65108604E+00    2.74648968E+00
-5.66823067E+00    2.71092892E+00
-5.68515153E+00    2.67526115E+00
-5.70184795E+00    2.63948777E+00
-5.71831927E+00    2.60361019E+00
-5.73456484E+00    2.56762983E+00
-5.75058401E+00    2.53154810E+00
-5.76637617E+00    2.49536645E+00
-5.78194067E+00    2.45908628E+00
-5.79727692E+00    2.42270905E+00
-5.81238430E+00    2.38623617E+00
-5.82726221E+00    2.34966909E+00
-5.84191008E+00    2.31300926E+00
-5.85632731E+00    2.27625812E+00
-5.87051335E+00    2.23941713E+00
-5.88446763E+00    2.20248773E+00
-5.89818960E+00    2.16547139E+00
-5.91167872E+00    2.12836956E+00
-5.92493446E+00    2.09118371E+00
-5.93795629E+00    2.05391532E+00
